rowid,fpl_orbper,fpl_smax,fpl_bmasse,fpl_rade,fpl_dens,fpl_tranflag,fpl_cbflag,fpl_snum,dec,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age,cos_simil,weighted_simil,cluster
14,2319.5392238828044,46.0,1271.0,13.0,3.18,0,0,1,-39.548332,5488.212277202725,4.354839473684218,-0.07515228426395948,0.02,1.5409463240905692,0.011107881644409444,0,0.008,0.772788241519573,0.8564022233944808,1
15,416.0,0.92,603.877,13.4,1.38,0,1,2,46.066418,10868.0,3.91,0.168,0.48,0.34,-0.092,0,4.236718483690839,0.6202525643579464,0.6503268188812413,1
16,7336.5,6.1761086775078455,6657.48,10.31,33.4,0,0,1,16.421758999999998,2300.0,4.354839473684218,-3.48,0.08,0.12,0.011107881644409444,0,4.236718483690839,0.7990774218461907,0.9091941721939343,1
17,2319.5392238828044,230.0,3972.875,12.3,11.7,0,0,1,47.86182,4045.0,4.354839473684218,-1.021,0.6,0.62,0.011107881644409444,0,0.12,0.7865152349014914,0.8734315225123562,1
18,335.10001,0.99,4392.4106,12.3,13.0,0,0,4,24.648064,6331.0,4.43,0.381,1.93,1.41,0.19,0,0.91,0.6468551219679396,0.6065912404168163,1
19,269.3,0.87,2256.5,12.7,6.05,0,0,1,64.327934,4415.0,1.8,2.062,1.23,18.11,-0.25,0,4.604,0.6406652522483557,0.7164112614237947,1
20,479.1,1.19,1233.13,13.0,3.08,0,0,1,65.563484,4200.0,1.71,2.155,0.98,22.03,-0.46,0,9.49,0.6041343874037365,0.6737759551740208,1
21,1078.0,2.1,804.08,13.2,1.92,0,0,1,40.430256,5892.0,4.27,0.21600000000000005,1.03,1.23,0.0,0,7.3,0.7991882841735495,0.8999148916805462,1
22,2391.0,3.6,171.62099999999998,14.2,0.32899999999999996,0,0,1,40.430256,5892.0,4.27,0.21600000000000005,1.03,1.23,0.0,0,7.3,0.7983630191965281,0.898782395112001,1
23,14002.0,11.6,521.22,13.5,1.16,0,0,1,40.430256,5892.0,4.27,0.21600000000000005,1.03,1.23,0.0,0,7.3,0.7989436311787598,0.8995808067235677,1
24,11688.0,12.0,635.66,13.4,1.45,0,0,3,-2.473548,7190.1,4.354839473684218,0.85,1.75,1.56,-0.027000000000000003,1,0.02,0.5729104544646315,0.6552743589540168,1
25,4.230785,0.0527,146.2018,14.3,0.275,0,0,1,20.768833,5793.0,4.33,0.147,1.12,1.2,0.2,0,4.0,0.8055740915750352,0.9138383443420902,1
26,14.651520000000001,0.115227,263.9785,13.9,0.54,0,0,2,28.330818,5196.0,4.45,-0.235,0.91,0.94,0.31,0,10.2,0.765187646221726,0.8361265703675838,1
27,44.4175,0.24137600000000006,54.4738,8.51,0.486,0,0,2,28.330818,5196.0,4.45,-0.235,0.91,0.94,0.31,0,10.2,0.7679334630180084,0.8393999911267437,1
28,4825.0,5.502999999999999,1232.493,13.0,3.08,0,0,2,28.330818,5196.0,4.45,-0.235,0.91,0.94,0.31,0,10.2,0.7657433296039884,0.836791863870249,1
29,0.736539,0.01544,8.08,1.91,6.4,1,0,2,28.330818,5196.0,4.45,-0.235,0.91,0.94,0.31,0,10.2,0.9493939723248643,0.8988999477381684,0
30,262.0,0.7879999999999999,44.812,7.59,0.563,0,0,2,28.330818,5196.0,4.45,-0.235,0.91,0.94,0.31,0,10.2,0.7682579091693735,0.8397852900820061,1
31,934.3,2.11,638.8383,13.4,1.46,0,0,1,58.162632,4938.0,3.19,1.156,1.44,5.2,-0.1,0,2.353,0.7505740618118217,0.8455250839294381,1
32,4.215,0.050201,5.1,2.11,2.98,0,0,1,-18.311195,5577.0,4.34,-0.095,0.94,0.96,-0.01,0,8.96,0.7870127977598765,0.8758142355805671,1
33,38.021,0.2175,18.2,4.46,1.13,0,0,1,-18.311195,5577.0,4.34,-0.095,0.94,0.96,-0.01,0,8.96,0.7865973144643661,0.8753263500324361,1
34,123.01,0.47600000000000003,22.9,5.11,0.943,0,0,1,-18.311195,5577.0,4.34,-0.095,0.94,0.96,-0.01,0,8.96,0.786408991318436,0.8751027680067195,1
35,796.0,1.93,781.8618,13.3,1.83,0,0,1,-19.255878,4792.0,3.25,1.053,1.52,2.3,0.21,0,4.236718483690839,0.7555083814854014,0.8588784017353644,1
36,116.68799999999999,0.48100000000000004,2380.45,12.6,6.54,0,0,1,13.778788,5495.0,3.95,0.487,1.09,1.89,-0.11,0,7.92,0.7885220829673809,0.8810996911082453,1
37,691.9,2.1,953.49,13.1,2.33,0,0,1,-1.0348959999999998,4846.0,2.63,1.73,2.49,10.5,0.0,0,4.236718483690839,0.7224608503937928,0.8123500805849825,1
38,93.4,0.49,416.3573,13.6,0.91,0,0,1,74.900925,4847.0,2.57,1.725,1.44,10.3,-0.03,0,1.7,0.6997932672718286,0.7783456593500792,1
39,952.7,2.5,1684.4,12.8,4.41,0,0,1,-3.396175,4785.0,2.35,1.778,2.4,11.0,-0.06,0,4.236718483690839,0.7010912489780834,0.7868543037806905,1
40,181.4,0.7,1017.0,13.1,2.49,0,0,1,-9.087737,4665.0,2.52,1.692,1.4,11.0,-0.03,0,3.56,0.7126157655232658,0.8004926190142896,1
41,2319.5392238828044,260.0,4290.5,12.3,12.7,0,0,1,-58.05431,5378.0,4.44,-0.226,0.9,1.0,-0.05,0,0.03,0.7539997800219853,0.8410437575332061,1
42,481.9,1.3,2034.112,12.7,5.46,0,0,1,2.760142,4095.0,1.89,2.7,1.14,32.35,-0.71,0,5.2,0.5685114000100742,0.6345965436182696,1
43,268.94,0.78,330.5432,13.8,0.691,0,0,1,14.689387,4864.0,4.26,-0.424,0.49,0.86,0.17,0,4.236718483690839,0.8071044460050133,0.9168835025660803,1
44,153.22,0.5760000000000001,337.21763,13.8,0.705,0,0,1,14.616381,4649.0,2.61,1.57,1.08,8.95,-0.22,0,7.41,0.7144173018797257,0.7975151358360629,1
45,137.48,0.539,352.78,13.7,0.754,0,0,1,15.54693,4796.0,2.8,2.01,1.1,14.7,0.28,0,7.1,0.7218949102934912,0.8096899355628108,1
46,379.63,1.05,17668.1697,11.6,62.2,0,0,1,19.891409,4259.0,1.77,2.768,10.83,71.02,-0.79,0,4.236718483690839,0.44007166344522114,0.4604170807622985,1
47,621.99,2.01,3963.17,12.4,11.4,0,0,1,19.891409,4259.0,1.77,2.768,10.83,71.02,-0.79,0,4.236718483690839,0.44041296026957005,0.46082252313420624,1
48,578.2,1.3,1334.886,13.0,3.34,0,0,1,21.005314,4296.0,1.99,1.96,0.8,17.3,-0.46,0,4.236718483690839,0.6476090464433749,0.7251630024722805,1
49,41.6855,0.24100000000000002,22.2481,2.5780000000000003,7.89,1,0,1,20.599232,5766.0,4.5,0.05,1.67,1.08,-0.15,0,3.34,0.991129462302338,0.9851775459443632,0
