"rowid","fpl_hostname","fpl_name","fpl_disc","fpl_orbper","fpl_rads","fst_dist","fst_logg","cluster","simil"
"1267","K2-81","K2-81 b","2016","6.102325","0.018000000000000002","254.14","4.67","0","0.9952936642205842"
"1268","K2-83","K2-83 b","2016","2.74697","0.011000000000000001","125.98","4.86","0","0.9952919220993358"
"1269","K2-83","K2-83 c","2016","9.99767","0.013999999999999999","125.98","4.86","0","0.9952858762934432"
"1270","K2-84","K2-84 b","2016","6.4215","0.022000000000000002","287.23","4.48","0","0.9928512147696986"
"1271","K2-84","K2-84 c","2016","27.86","0.019","287.23","4.48","0","0.9928815316672528"
"1272","K2-85","K2-85 b","2016","0.684533","0.009000000000000001","97.49","4.78","0","0.9960195470243435"
"1273","K2-86","K2-86 b","2016","8.77683","0.018000000000000002","260.61","4.58","0","0.9882736291955114"
"1274","K2-87","K2-87 b","2016","9.726618","0.07","503.6","4.21","0","0.9781126641746627"
"1275","K2-88","K2-88 b","2016","4.6122","0.011000000000000001","110.91","5.02","0","0.9927965270629835"
"1276","K2-89","K2-89 b","2016","1.096026","0.006","86.25","4.96","0","0.9940433460312994"
"1277","K2-9","K2-9 b","2015","18.4498","0.021","83.16","4.82","0","0.9817998375211838"
"1278","K2-90","K2-90 b","2016","13.733314","0.024","134.9","4.65","0","0.9928907446586702"
"1279","K2-90","K2-90 c","2016","2.900706","0.012","134.9","4.65","0","0.9929769824606972"
"1280","K2-91","K2-91 b","2016","1.419549","0.01","62.69","5","0","0.9931978629103771"
"1281","K2-95","K2-95 b","2016","10.134016","0.036000000000000004","180.63","4.84","0","0.9843236223920395"
"1282","K2-97","K2-97 b","2016","8.406726","0.09699999999999999","869.76","3.22","0","0.9373776303980005"
"1283","K2-98","K2-98 b","2016","10.136448","0.048","526.31","4.13","0","0.9840272355642533"
"1284","K2-99","K2-99 b","2016","18.251985","0.107","522.29","3.81","0","0.9612393195071728"
"1285","KELT-1","KELT-1 b","2012","1.217514","0.114","262","4.354839473684218","0","0.9824611441413861"
"1286","KELT-10","KELT-10 b","2016","4.1662739","0.14400000000000002","183","4.32","0","0.9559928518830396"
"1287","KELT-11","KELT-11 b","2017","4.7361","0.139","99.44","3.7","0","0.9601121992205801"
"1288","KELT-12","KELT-12 b","2017","5.031623","0.183","360","3.89","0","0.9592781827547688"
"1289","KELT-14","KELT-14 b","2016","1.7100566","0.179","266","4.17","0","0.9446103434726932"
"1290","KELT-15","KELT-15 b","2016","3.32944","0.179","327.74","4.17","0","0.9442255288487822"
"1291","KELT-16","KELT-16 b","2017","0.9689951","0.145","450.28","4.25","0","0.9600462287204995"
"1292","KELT-17","KELT-17 b","2016","3.0801716","0.157","210","4.22","0","0.965376417271588"
"1293","KELT-18","KELT-18 b","2017","2.8717518","0.161","311","4.06","0","0.9606328960438931"
"1294","KELT-19 A","KELT-19 A b","2017","4.6117093","0.196","302.8","4.13","0","0.9490487931204474"
"1295","KELT-2 A","KELT-2 A b","2012","4.11379","0.139","134.57","4.5","0","0.9840227085115648"
"1296","KELT-20","KELT-20 b","2017","3.4741085","0.179","139.7","4.29","0","0.9560545398461341"
"1297","KELT-21","KELT-21 b","2018","3.6127647","0.163","415","4.17","0","0.9572955356184218"
"1298","KELT-23 A","KELT-23 A b","2019","2.255251","0.136","125.42","4.42","0","0.9553575085828719"
"1299","KELT-24","KELT-24 b","2019","5.5514926","0.131","96.03","4.25","0","0.9573089931843832"
"1300","KELT-3","KELT-3 b","2013","2.70339","0.16","211.35","4.2","0","0.9734483704479207"
