"rowid","fpl_hostname","fpl_letter","fpl_name","fpl_discmethod","fpl_controvflag","fpl_disc","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_bmassj","fpl_bmassprov","fpl_rade","fpl_radj","fpl_rads","fpl_dens","fpl_eqt","fpl_insol","fpl_tranflag","fpl_cbflag","fpl_snum","ra_str","ra","dec_str","dec","fst_dist","fst_optmag","fst_optmagband","fst_nirmag","fst_nirmagband","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age"
"1209","K2-37","c","K2-37 c","Transit","0","2016","6.42904","0.0654","","8","0.0252","M-R relationship","2.75","0.245","0.025","2.11","861","130.3","1","0","1","16h13m48.24s","243.451004","-24d47m13.4s","-24.787062","180.86","12.52","V (Johnson)","10.142000000000001","Ks (2MASS)","G3 V","5413","4.52","-0.469","0.9","0.85","-0.03","[Fe/H]","4.236718483690839"
"1210","K2-37","d","K2-37 d","Transit","0","2016","14.09189","0.1103","","7.9","0.0249","M-R relationship","2.73","0.244","0.025","2.13","663","45.7","1","0","1","16h13m48.24s","243.451004","-24d47m13.4s","-24.787062","180.86","12.52","V (Johnson)","10.142000000000001","Ks (2MASS)","G3 V","5413","4.52","-0.469","0.9","0.85","-0.03","[Fe/H]","4.236718483690839"
"1211","K2-38","b","K2-38 b","Transit","0","2016","4.01593","0.050730000000000004","","19.0698","0.06","Mass","1.906","0.17","0.017","17.5","1184","465.9","1","0","1","16h00m08.06s","240.03358500000002","-23d11m21.4s","-23.189287","193.71","11.39","V (Johnson)","9.47","Ks (2MASS)","G2 V","5757","4.35","0","2.24","1.38","0.28","[Fe/H]","4.236718483690839"
"1212","K2-38","c","K2-38 c","Transit","0","2016","10.56103","0.0964","","9.9","0.03115","Mass","2.42","0.21600000000000003","0.022000000000000002","3.6","858","128.3","1","0","1","16h00m08.06s","240.03358500000002","-23d11m21.4s","-23.189287","193.71","11.39","V (Johnson)","9.47","Ks (2MASS)","G2 V","5757","4.35","0","2.24","1.38","0.28","[Fe/H]","4.236718483690839"
"1213","K2-39","b","K2-39 b","Transit","0","2016","4.60543","0.05708","0","28.6047","0.09","Mass","6.277","0.56","0.057999999999999996","0.5","1670","1356","1","0","1","22h33m28.41s","338.368378","-09d01m22.0s","-9.022769","310.14","10.83","V (Johnson)","8.516","Ks (2MASS)","","4881","3.44","0.674","0.66","2.97","0.32","[Fe/H]","3.09"
"1214","K2-4","b","K2-4 b","Transit","0","2015","10.003417","0.078","0.08","5.06","0.0159","M-R relationship","2.1","0.187","0.019","3","563","15.6","1","0","1","11h38m58.95s","174.74563600000002","-03d54m20.1s","-3.905585","233.37","14.907","V (Johnson)","11.571","Ks (2MASS)","","4014.73","4.85","-0.986","0.64","0.57","-0.12","[Fe/H]","4.236718483690839"
"1215","K2-42","b","K2-42 b","Transit","0","2016","6.68796","0.0617","","5.27","0.0166","M-R relationship","2.15","0.192","0.02","2.91","","44.1","1","0","1","11h46m39.77s","176.665726","-05d10m18.9s","-5.171913","401.36","15.023","V (Johnson)","12.284","Ks (2MASS)","","4613","4.66","-0.703","0.7","0.64","0.011107881644409444","[Fe/H]","4.236718483690839"
"1216","K2-43","b","K2-43 b","Transit","0","2016","3.471149","0.03784","0.07","18.5","0.0583","M-R relationship","4.51","0.402","0.040999999999999995","1.11","939","49","1","0","1","11h16m28.11s","169.117142","-03d58m31.6s","-3.9754400000000003","183.48","15.595999999999998","V (Johnson)","11.577","Ks (2MASS)","","3840.6","4.7","-1.212","0.57","0.54","0.011107881644409444","[Fe/H]","4.236718483690839"
"1217","K2-43","c","K2-43 c","Transit","0","2019","2.198884","6.176108677507845","","6.44","0.0203","M-R relationship","2.42","0.21600000000000003","0.022000000000000002","2.5","1094","","1","0","1","11h16m28.11s","169.117142","-03d58m31.6s","-3.9754400000000003","183.48","15.595999999999998","V (Johnson)","11.577","Ks (2MASS)","","3840.6","4.7","-1.212","0.57","0.54","0.011107881644409444","[Fe/H]","4.236718483690839"
"1218","K2-44","b","K2-44 b","Transit","0","2016","5.65688","0.0651","","7.85","0.0247","M-R relationship","2.72","0.243","0.025","2.14","","646","1","0","1","11h36m02.79s","174.011627","-02d31m15.2s","-2.520881","483.19","12.189","V (Johnson)","10.693","Ks (2MASS)","","5912","4.1","0.43","1.15","1.58","0.04","[Fe/H]","4.236718483690839"
"1219","K2-45","b","K2-45 b","Transit","0","2016","1.7292684","0.0224","0.1","36.4","0.114","M-R relationship","6.71","0.599","0.061","0.662","","100","1","0","1","11h18m31.89s","169.632874","-01d46m26.9s","-1.77413","502.34","15.78","V (Johnson)","12.755999999999998","Ks (2MASS)","","4103","4.82","-0.74","0.5","0.45","0.011107881644409444","[Fe/H]","4.236718483690839"
"1220","K2-46","b","K2-46 b","Transit","0","2016","19.1541","0.13821","","4.86","0.0153","M-R relationship","2.05","0.183","0.019","3.1","","119","1","0","1","11h37m03.92s","174.26634199999998","-00d54m26.1s","-0.9072610000000001","454.93","12.029000000000002","V (Johnson)","10.780999999999999","Ks (2MASS)","","6256","4.2","0.413","0.96","1.29","-0.32","[Fe/H]","4.236718483690839"
"1221","K2-47","b","K2-47 b","Transit","0","2016","31.6372","0.1779","","4.23","0.0133","M-R relationship","1.89","0.16899999999999998","0.017","3.44","","10.7","1","0","1","11h14m19.82s","168.582596","+02d46m50.6s","2.780711","353.38","14.085","V (Johnson)","11.735","Ks (2MASS)","","5054","4.54","-0.48200000000000004","0.75","0.76","0.011107881644409444","[Fe/H]","4.236718483690839"
"1222","K2-48","b","K2-48 b","Transit","0","2016","20.5065","0.1344","","5.65","0.0178","M-R relationship","2.24","0.2","0.021","2.76","","15.3","1","0","1","11h44m29.65s","176.12355","+03d16m20.7s","3.272425","316.61","14.277000000000001","V (Johnson)","11.838","Ks (2MASS)","","4899","4.6","-0.657","0.77","0.73","0.011107881644409444","[Fe/H]","4.236718483690839"
"1223","K2-49","b","K2-49 b","Transit","0","2016","2.77065","0.0309","","4.38","0.0138","M-R relationship","1.93","0.172","0.018000000000000002","3.35","","59","1","0","1","11h49m16.85s","177.320206","+03d28m32.0s","3.475569","463.06","15.668","V (Johnson)","12.729000000000001","Ks (2MASS)","","4175","4.81","-0.774","0.51","0.45","0.011107881644409444","[Fe/H]","4.236718483690839"
"1224","K2-5","b","K2-5 b","Transit","0","2015","5.73594","0.0532","","4.31","0.0136","M-R relationship","1.91","0.17","0.018000000000000002","3.4","565","24.1","1","0","1","11h17m12.84s","169.303497","-01d52m40.7s","-1.8779759999999999","204.12","14.91","V (Johnson)","11.595","Ks (2MASS)","K7.5 V","3930","4.71","-1.083","0.61","0.57","-0.33","[Fe/H]","4.236718483690839"
"1225","K2-5","c","K2-5 c","Transit","0","2015","10.93241","0.0818","","5.73","0.018","M-R relationship","2.26","0.20199999999999999","0.021","2.73","456","10.2","1","0","1","11h17m12.84s","169.303497","-01d52m40.7s","-1.8779759999999999","204.12","14.91","V (Johnson)","11.595","Ks (2MASS)","K7.5 V","3930","4.71","-1.083","0.61","0.57","-0.33","[Fe/H]","4.236718483690839"
"1226","K2-50","b","K2-50 b","Transit","0","2016","8.7529","0.0705","","3.15","0.00993","M-R relationship","1.59","0.142","0.015","4.31","","18.8","1","0","1","11h17m56.07s","169.483627","+05d59m18.2s","5.988378","259.33","14.717","V (Johnson)","11.664000000000001","Ks (2MASS)","","4326","4.74","-0.8740000000000001","0.61","0.63","0.011107881644409444","[Fe/H]","4.236718483690839"
"1227","K2-52","b","K2-52 b","Transit","0","2016","3.535055","0.054","","45700","144","M-R relationship","18","1.6059999999999999","0.165","43.1","2004","1124","1","0","1","16h26m26.74s","246.61142","-24d58m11.8s","-24.969948000000002","1041.7","15.255","G (Gaia)","11.853","Ks (2MASS)","","7147","3.98","0.027000000000000003","1.69","2.19","0.055","[Fe/H]","4.236718483690839"
"1228","K2-53","b","K2-53 b","Transit","0","2016","12.20772","0.098","","7.27","0.0229","M-R relationship","2.6","0.23199999999999998","0.024","2.27","665","52.5","1","0","1","16h16m34.04s","244.14181499999998","-20d24m01.9s","-20.400534","139.1","12.148","G (Gaia)","9.664","Ks (2MASS)","","5263","4.55","-0.633","0.85","0.81","-0.037000000000000005","[Fe/H]","4.236718483690839"
"1229","K2-54","b","K2-54 b","Transit","0","2016","9.7843","0.0671","","1.6","0.00505","M-R relationship","1.15","0.10300000000000001","0.011000000000000001","5.78","","6.1","1","0","1","22h32m13.01s","338.05419900000004","-17d32m38.4s","-17.543995000000002","175.84","14.042","V (Johnson)","11.075","Ks (2MASS)","","3798","4.89","-1.011","0.42","0.38","0.011107881644409444","[Fe/H]","4.236718483690839"
"1230","K2-55","b","K2-55 b","Transit","0","2016","2.849258","0.03486","0.07","14","0.044","M-R relationship","3.82","0.341","0.035","1.38","","115","1","0","1","22h15m00.46s","333.751923","-17d15m02.5s","-17.250708","160.26","13.546","V (Johnson)","10.470999999999998","Ks (2MASS)","","4456","4.67","-0.821","0.7","0.63","0.011107881644409444","[Fe/H]","4.236718483690839"
"1231","K2-57","b","K2-57 b","Transit","0","2016","9.0063","0.0746","","5.06","0.0159","M-R relationship","2.1","0.187","0.019","3","","24.1","1","0","1","22h50m46.01s","342.691711","-14d04m11.6s","-14.069885999999999","266.23","14.501","V (Johnson)","11.645","Ks (2MASS)","","4434","4.68","-0.83","0.68","0.62","0.011107881644409444","[Fe/H]","4.236718483690839"
"1232","K2-58","b","K2-58 b","Transit","0","2016","7.05254","0.0692","","7.65","0.0241","M-R relationship","2.68","0.239","0.025","2.18","","118","1","0","1","22h15m17.23s","333.82180800000003","-14d02m59.3s","-14.049807999999999","182.69","12.378","V (Johnson)","10.215","Ks (2MASS)","","5413","4.52","-0.41200000000000003","0.89","0.86","0.11","[Fe/H]","4.236718483690839"
"1233","K2-58","c","K2-58 c","Transit","0","2016","2.53726","0.035","","3.26","0.0102","M-R relationship","1.62","0.145","0.015","4.21","","462","1","0","1","22h15m17.23s","333.82180800000003","-14d02m59.3s","-14.049807999999999","182.69","12.378","V (Johnson)","10.215","Ks (2MASS)","","5413","4.52","-0.41200000000000003","0.89","0.86","0.11","[Fe/H]","4.236718483690839"
"1234","K2-58","d","K2-58 d","Transit","0","2016","22.8827","0.1517","","3.57","0.0112","M-R relationship","1.71","0.153","0.016","3.92","","24.6","1","0","1","22h15m17.23s","333.82180800000003","-14d02m59.3s","-14.049807999999999","182.69","12.378","V (Johnson)","10.215","Ks (2MASS)","","5413","4.52","-0.41200000000000003","0.89","0.86","0.11","[Fe/H]","4.236718483690839"
"1235","K2-59","b","K2-59 b","Transit","0","2016","20.6921","0.1354","","6.39","0.0201","M-R relationship","2.41","0.215","0.022000000000000002","2.51","","17.1","1","0","1","22h35m46.16s","338.942352","-14d01m39.9s","-14.027745000000001","314.09","14.225999999999999","V (Johnson)","11.838","Ks (2MASS)","","5055","4.59","-0.66","0.77","0.73","0.011107881644409444","[Fe/H]","4.236718483690839"
"1236","K2-59","c","K2-59 c","Transit","0","2016","11.2954","0.0905","","5.9","0.0186","M-R relationship","2.3","0.205","0.021","2.66","","38.3","1","0","1","22h35m46.16s","338.942352","-14d01m39.9s","-14.027745000000001","314.09","14.225999999999999","V (Johnson)","11.838","Ks (2MASS)","","5055","4.59","-0.66","0.77","0.73","0.011107881644409444","[Fe/H]","4.236718483690839"
"1237","K2-6","b","K2-6 b","Transit","0","2015","30.94191","0.1898","","6.8","0.0214","M-R relationship","2.5","0.223","0.023","2.39","615","28.6","1","0","1","11h52m46.14s","178.192261","-01d11m54.5s","-1.198477","319.59","12.654000000000002","V (Johnson)","11.069","Ks (2MASS)","","5850","4.4","-0.12","0.97","0.96","-0.14","[Fe/H]","4.236718483690839"
"1238","K2-60","b","K2-60 b","Transit","0","2016","3.00265","0.045","0","135.39558","0.426","Mass","7.656000000000001","0.6829999999999999","0.07","1.7","1400","1212","1","0","1","22h34m25.48s","338.606171","-13d43m54.1s","-13.731701999999999","498.7","12.789000000000001","V (Johnson)","10.993","Ks (2MASS)","G4 V","5500","4.07","0.24","0.97","1.12","0.01","[Fe/H]","10"
"1239","K2-61","b","K2-61 b","Transit","0","2016","2.57302","0.0392","","6.71","0.0211","M-R relationship","2.48","0.221","0.023","2.42","","1686","1","0","1","22h38m41.94s","339.674744","-13d33m36.1s","-13.560023999999999","410.35","12.991","V (Johnson)","11.385","Ks (2MASS)","","6293","4.25","-0.036000000000000004","1.21","1.36","0.17","[Fe/H]","4.236718483690839"
"1240","K2-62","b","K2-62 b","Transit","0","2016","6.67202","0.0636","","5.22","0.0164","M-R relationship","2.14","0.191","0.02","2.93","","66","1","0","1","22h17m27.40s","334.364166","-12d11m15.0s","-12.187498","112.83","12.397","V (Johnson)","9.687999999999999","Ks (2MASS)","","4880","4.6","-0.7809999999999999","0.77","0.73","-0.29","[Fe/H]","4.236718483690839"
"1241","K2-62","c","K2-62 c","Transit","0","2016","16.1966","0.1148","","5.22","0.0164","M-R relationship","2.14","0.191","0.02","2.93","","20.5","1","0","1","22h17m27.40s","334.364166","-12d11m15.0s","-12.187498","112.83","12.397","V (Johnson)","9.687999999999999","Ks (2MASS)","","4880","4.6","-0.7809999999999999","0.77","0.73","-0.29","[Fe/H]","4.236718483690839"
"1242","K2-63","b","K2-63 b","Transit","0","2016","20.257","0.1627","","10.5","0.0329","M-R relationship","3.22","0.287","0.03","1.73","","188","1","0","1","22h13m42.40s","333.426666","-12d03m58.9s","-12.066374","524.41","12.876","V (Johnson)","11.274000000000001","Ks (2MASS)","","6771","4.15","0.21899999999999997","1.4","1.63","0.011107881644409444","[Fe/H]","4.236718483690839"
"1243","K2-63","c","K2-63 c","Transit","0","2016","25.4556","0.189","","14.5","0.0455","M-R relationship","3.9","0.348","0.036000000000000004","1.34","","139","1","0","1","22h13m42.40s","333.426666","-12d03m58.9s","-12.066374","524.41","12.876","V (Johnson)","11.274000000000001","Ks (2MASS)","","6771","4.15","0.21899999999999997","1.4","1.63","0.011107881644409444","[Fe/H]","4.236718483690839"
"1244","K2-64","b","K2-64 b","Transit","0","2016","6.53044","0.0619","","4.94","0.0155","M-R relationship","2.07","0.185","0.019","3.06","","98","1","0","1","22h09m39.27s","332.41360499999996","-11d25m43.5s","-11.428742","506.87","14.085999999999999","V (Johnson)","12.200999999999999","Ks (2MASS)","","5312","4.58","-0.265","0.74","0.73","0.011107881644409444","[Fe/H]","4.236718483690839"
"1245","K2-65","b","K2-65 b","Transit","0","2016","12.6475","0.1014","","3.12","0.00982","M-R relationship","1.58","0.141","0.013999999999999999","4.35","","45","1","0","1","22h12m50.82s","333.21176099999997","-10d55m31.4s","-10.925379","78.06","10.800999999999998","V (Johnson)","8.344","Ks (2MASS)","","5213","4.53","-0.32799999999999996","0.87","0.84","-0.34","[Fe/H]","4.236718483690839"
"1246","K2-66","b","K2-66 b","Transit","0","2016","5.06963","0.059829999999999994","0","21.3","0.06702000000000001","Mass","2.49","0.222","0.023","7.8","1372","840","1","0","1","22h06m06.41s","331.526703","-10d42m41.6s","-10.711549","520.43","11.71","V (Johnson)","10.609000000000002","Ks (2MASS)","","5887","4.03","0.506","1.11","1.67","-0.047","[Fe/H]","4.236718483690839"
"1247","K2-68","b","K2-68 b","Transit","0","2016","8.05428","0.0708","","3.12","0.00982","M-R relationship","1.58","0.141","0.013999999999999999","4.35","","41","1","0","1","22h16m04.75s","334.019775","-10d34m02.3s","-10.567317999999998","169.47","12.977","V (Johnson)","10.53","Ks (2MASS)","","4746","4.63","-0.6729999999999999","0.73","0.68","-0.21","[Fe/H]","4.236718483690839"
"1248","K2-69","b","K2-69 b","Transit","0","2016","7.06599","0.0591","","5.99","0.0189","M-R relationship","2.32","0.207","0.021","2.64","","17.9","1","0","1","22h23m02.29s","335.759552","-10d29m18.9s","-10.48858","181.63","15.057","G (Gaia)","11.765999999999998","Ks (2MASS)","","4127","4.79","-1.2","0.55","0.49","0.011107881644409444","[Fe/H]","4.236718483690839"
"1249","K2-7","b","K2-7 b","Transit","0","2015","28.67992","0.1814","","7.61","0.0239","M-R relationship","2.67","0.23800000000000002","0.024","2.2","651","125","1","0","1","11h08m22.50s","167.093765","-01d03m56.7s","-1.065755","754.64","13.213","V (Johnson)","11.564","Ks (2MASS)","","5772","3.82","0.405","0.97","0.96","-0.07","[Fe/H]","4.236718483690839"
"1250","K2-70","b","K2-70 b","Transit","0","2016","13.97896","0.1112","","8.7","0.0274","M-R relationship","2.89","0.258","0.026000000000000002","1.98","","62","1","0","1","22h33m54.19s","338.4758","-10d05m05.8s","-10.084946","234.47","12.989","V (Johnson)","10.853","Ks (2MASS)","","5622","4.48","-0.457","0.94","0.93","0.06","[Fe/H]","4.236718483690839"
"1251","K2-71","b","K2-71 b","Transit","0","2016","6.98541","0.0559","","5.27","0.0166","M-R relationship","2.15","0.192","0.02","2.91","","13.4","1","0","1","22h46m53.86s","341.724426","-09d52m53.8s","-9.881619","153.86","15.189","G (Gaia)","11.732000000000001","Ks (2MASS)","","4006","4.85","-1.38","0.48","0.43","0.011107881644409444","[Fe/H]","4.236718483690839"
"1252","K2-72","b","K2-72 b","Transit","0","2016","5.577212","0.04","0.11","1.28","0.00403","M-R relationship","1.08","0.096","0.01","5.58","","8.5","1","0","1","22h18m29.27s","334.621979","-09d36m44.6s","-9.612382","66.56","15.309000000000001","V (Johnson)","10.962","Ks (2MASS)","","3360.47","5.05","-1.9","0.27","0.33","0.011107881644409444","[Fe/H]","4.236718483690839"
"1253","K2-72","c","K2-72 c","Transit","0","2016","15.189034","0.078","0.11","1.65","0.00521","M-R relationship","1.16","0.10300000000000001","0.011000000000000001","5.81","","2.2","1","0","1","22h18m29.27s","334.621979","-09d36m44.6s","-9.612382","66.56","15.309000000000001","V (Johnson)","10.962","Ks (2MASS)","","3360.47","5.05","-1.9","0.27","0.33","0.011107881644409444","[Fe/H]","4.236718483690839"
"1254","K2-72","d","K2-72 d","Transit","0","2016","7.760178","0.05","0.11","1.01","0.00317","M-R relationship","1.01","0.09","0.009000000000000001","5.39","","5.4","1","0","1","22h18m29.27s","334.621979","-09d36m44.6s","-9.612382","66.56","15.309000000000001","V (Johnson)","10.962","Ks (2MASS)","","3360.47","5.05","-1.9","0.27","0.33","0.011107881644409444","[Fe/H]","4.236718483690839"
"1255","K2-72","e","K2-72 e","Transit","0","2016","24.158868","0.106","0.11","2.21","0.006959999999999999","M-R relationship","1.29","0.115","0.012","5.66","","1.2","1","0","1","22h18m29.27s","334.621979","-09d36m44.6s","-9.612382","66.56","15.309000000000001","V (Johnson)","10.962","Ks (2MASS)","","3360.47","5.05","-1.9","0.27","0.33","0.011107881644409444","[Fe/H]","4.236718483690839"
"1256","K2-73","b","K2-73 b","Transit","0","2016","7.49543","0.07619","","6.57","0.0207","M-R relationship","2.45","0.21899999999999997","0.022000000000000002","2.45","","213","1","0","1","22h20m06.12s","335.025482","-09d03m21.9s","-9.056092999999999","271.27","11.345","V (Johnson)","10.322000000000001","Ks (2MASS)","","5922","4.41","0.054000000000000006","1.05","1.06","0.09","[Fe/H]","4.236718483690839"
"1257","K2-74","b","K2-74 b","Transit","0","2016","19.5666","0.1402","","5.95","0.0187","M-R relationship","2.31","0.20600000000000002","0.021","2.65","","59.1","1","0","1","22h39m40.64s","339.919342","-08d42m52.2s","-8.714505","381.85","12.588","V (Johnson)","11.068","Ks (2MASS)","","6060","4.44","0.06","0.96","0.98","-0.21","[Fe/H]","4.236718483690839"
"1258","K2-75","b","K2-75 b","Transit","0","2016","7.8142","0.081","","7.61","0.0239","M-R relationship","2.67","0.23800000000000002","0.024","2.2","","430","1","0","1","22h35m22.76s","338.844849","-07d28m11.5s","-7.469853","570.86","12.700999999999999","V (Johnson)","11.177999999999999","Ks (2MASS)","","5995","4.12","0.349","1.16","1.56","0.3","[Fe/H]","4.236718483690839"
"1259","K2-75","c","K2-75 c","Transit","0","2016","18.311","0.1429","","8.1","0.0255","M-R relationship","2.77","0.247","0.025","2.09","","138","1","0","1","22h35m22.76s","338.844849","-07d28m11.5s","-7.469853","570.86","12.700999999999999","V (Johnson)","11.177999999999999","Ks (2MASS)","","5995","4.12","0.349","1.16","1.56","0.3","[Fe/H]","4.236718483690839"
"1260","K2-77","b","K2-77 b","Transit","0","2016","8.199796","0.076","0.14","603.877","1.9","Mass","2.3","0.205","0.021","4.3812565360303335","","58","1","0","1","03h40m54.82s","55.228428","+12d34m21.4s","12.572612","142.31","12.158","V (Johnson)","9.799","Ks (2MASS)","","4970","4.47","-0.5","0.8","0.76","0.29","[Fe/H]","0.85"
"1261","K2-79","b","K2-79 b","Transit","0","2016","10.99573","0.0987","","13.2","0.0415","M-R relationship","3.69","0.32899999999999996","0.034","1.44","","186","1","0","1","03h41m01.42s","55.255905000000006","+13d31m09.7s","13.519372","257.9","12.075","V (Johnson)","9.907","Ks (2MASS)","","5926","4.25","0.018000000000000002","1.06","1.28","0.2","[Fe/H]","4.236718483690839"
"1262","K2-8","b","K2-8 b","Transit","0","2015","10.35239","0.0856","","12.5","0.0394","M-R relationship","3.58","0.319","0.033","1.5","631","37.7","1","0","1","11h19m10.48s","169.793671","-00d17m03.8s","-0.284375","407.93","14.61","V (Johnson)","12.245","Ks (2MASS)","K3 V","4870","4.52","-0.583","0.78","0.74","-0.02","[Fe/H]","4.236718483690839"
"1263","K2-8","c","K2-8 c","Transit","0","2016","5.06416","0.0532","","6.39","0.0201","M-R relationship","2.41","0.215","0.022000000000000002","2.51","801","97.8","1","0","1","11h19m10.48s","169.793671","-00d17m03.8s","-0.284375","407.93","14.61","V (Johnson)","12.245","Ks (2MASS)","K3 V","4870","4.52","-0.583","0.78","0.74","-0.02","[Fe/H]","4.236718483690839"
"1264","K2-80","b","K2-80 b","Transit","0","2016","19.0918","0.135","","4.7","0.0148","M-R relationship","2.01","0.179","0.018000000000000002","3.18","","32.5","1","0","1","03h56m09.00s","59.037487","+13d33m33.4s","13.559289000000001","201.96","12.626","V (Johnson)","10.312999999999999","Ks (2MASS)","","5441","4.52","-0.43200000000000005","0.9","0.87","0.07","[Fe/H]","4.236718483690839"
"1265","K2-80","c","K2-80 c","Transit","0","2016","5.605","0.0596","","2.76","0.00869","M-R relationship","1.47","0.131","0.013000000000000001","4.77","","166","1","0","1","03h56m09.00s","59.037487","+13d33m33.4s","13.559289000000001","201.96","12.626","V (Johnson)","10.312999999999999","Ks (2MASS)","","5441","4.52","-0.43200000000000005","0.9","0.87","0.07","[Fe/H]","4.236718483690839"
"1266","K2-80","d","K2-80 d","Transit","0","2018","28.867253","6.176108677507845","","7.04","0.0222","M-R relationship","2.552","0.228","0.023","2.33","","","1","0","1","03h56m09.00s","59.037487","+13d33m33.4s","13.559289000000001","201.96","12.626","V (Johnson)","10.312999999999999","Ks (2MASS)","","5441","4.52","-0.43200000000000005","0.9","0.87","0.07","[Fe/H]","4.236718483690839"
"1267","K2-81","b","K2-81 b","Transit","0","2016","6.102325","0.059","0.06","4.54","0.0143","M-R relationship","1.97","0.17600000000000002","0.018000000000000002","3.26","","62.9","1","0","1","03h49m56.52s","57.485489","+14d30m07.9s","14.5022","254.14","14.364","V (Johnson)","11.315999999999999","Ks (2MASS)","","4674.13","4.67","-0.7609999999999999","0.75","0.63","0.011107881644409444","[Fe/H]","4.236718483690839"
"1268","K2-83","b","K2-83 b","Transit","0","2016","2.74697","0.030139999999999997","0.07","2.08","0.006540000000000001","M-R relationship","1.244","0.111","0.011000000000000001","5.94","","41.5","1","0","1","03h59m36.37s","59.901562","+15d33m32.0s","15.558886","125.98","14.514000000000001","V (Johnson)","10.765","Ks (2MASS)","","3910","4.86","-1.42","0.48","0.42","0.011107881644409444","[Fe/H]","4.236718483690839"
"1269","K2-83","c","K2-83 c","Transit","0","2016","9.99767","0.07131","0.06","2.8","0.00882","M-R relationship","1.483","0.132","0.013999999999999999","4.72","","7.42","1","0","1","03h59m36.37s","59.901562","+15d33m32.0s","15.558886","125.98","14.514000000000001","V (Johnson)","10.765","Ks (2MASS)","","3910","4.86","-1.42","0.48","0.42","0.011107881644409444","[Fe/H]","4.236718483690839"
"1270","K2-84","b","K2-84 b","Transit","0","2016","6.4215","0.0665","","6.39","0.0201","M-R relationship","2.41","0.215","0.022000000000000002","2.51","","178","1","0","1","03h43m14.23s","55.809273","+16d38m04.4s","16.634548000000002","287.23","13.443","V (Johnson)","11.059000000000001","Ks (2MASS)","","5652","4.48","-0.423","0.95","0.93","0.011107881644409444","[Fe/H]","4.236718483690839"
"1271","K2-84","c","K2-84 c","Transit","0","2016","27.86","0.1768","","4.78","0.015","M-R relationship","2.03","0.18100000000000002","0.019","3.14","","25.3","1","0","1","03h43m14.23s","55.809273","+16d38m04.4s","16.634548000000002","287.23","13.443","V (Johnson)","11.059000000000001","Ks (2MASS)","","5652","4.48","-0.423","0.95","0.93","0.011107881644409444","[Fe/H]","4.236718483690839"
"1272","K2-85","b","K2-85 b","Transit","0","2016","0.684533","0.012629999999999999","0.24","1.01","0.00317","M-R relationship","1.01","0.09","0.009000000000000001","5.39","","479","1","0","1","03h57m51.45s","59.46439399999999","+18d27m54.9s","18.465254","97.49","12.831","V (Johnson)","9.466000000000001","Ks (2MASS)","","4268","4.78","-0.8370000000000001","0.57","0.51","-0.14","[Fe/H]","4.236718483690839"
"1273","K2-86","b","K2-86 b","Transit","0","2016","8.77683","0.077","","4.5","0.0142","M-R relationship","1.96","0.175","0.018000000000000002","3.28","","78","1","0","1","03h26m12.67s","51.552799","+18d38m08.2s","18.635616","260.61","13.167","V (Johnson)","10.927","Ks (2MASS)","","5482","4.58","-0.386","0.79","0.76","-0.35","[Fe/H]","4.236718483690839"
"1274","K2-87","b","K2-87 b","Transit","0","2016","9.726618","0.094","","44.9","0.141","M-R relationship","7.6","0.6779999999999999","0.07","0.562","979","85","1","0","1","04h24m56.69s","66.236221","+18d49m38.7s","18.827417","503.6","14.134","V (Johnson)","11.197000000000001","Ks (2MASS)","","5747","4.21","-0.098","1.16","1.4","0.32799999999999996","[Fe/H]","4.236718483690839"
"1275","K2-88","b","K2-88 b","Transit","0","2016","4.6122","0.0345","0.26","2.04","0.00642","M-R relationship","1.23","0.11","0.011000000000000001","6.02","","7.8","1","0","1","03h39m00.38s","54.751598","+19d07m12.6s","19.120178","110.91","15.475999999999999","V (Johnson)","11.24","Ks (2MASS)","","3537","5.02","-2.03","0.26","0.26","0.011107881644409444","[Fe/H]","4.236718483690839"
"1276","K2-89","b","K2-89 b","Transit","0","2016","1.096026","0.01462","0.15","0.17","0.00053","M-R relationship","0.615","0.055","0.006","4.02","","78","1","0","1","03h48m16.01s","57.066715","+20d27m34.7s","20.459639000000003","86.25","14.162","V (Johnson)","10.106","Ks (2MASS)","","3691","4.96","-1.77","0.35","0.32","0.011107881644409444","[Fe/H]","4.236718483690839"
"1277","K2-9","b","K2-9 b","Transit","0","2015","18.4498","0.091","","5.69","0.0179","M-R relationship","2.25","0.201","0.021","2.74","314","1.36","1","0","1","11h45m03.47s","176.264465","+00d00m19.1s","0.005301","83.16","15.63","V (Johnson)","11.495","Ks (2MASS)","M2.5 V","3390","4.82","-1.921","0.3","0.31","-0.25","[Fe/H]","1"
"1278","K2-90","b","K2-90 b","Transit","0","2016","13.733314","0.096","0.07","7.27","0.0229","M-R relationship","2.6","0.23199999999999998","0.024","2.27","502","10.2","1","0","1","03h56m36.58s","59.152405","+22d28m21.5s","22.472631","134.9","13.855","V (Johnson)","10.36","Ks (2MASS)","","4484","4.65","-0.968","0.63","0.62","-0.225","[Fe/H]","4.236718483690839"
