"rowid","fpl_hostname","fpl_letter","fpl_name","fpl_discmethod","fpl_controvflag","fpl_disc","fpl_orbper","fpl_smax","fpl_eccen","fpl_bmasse","fpl_bmassj","fpl_bmassprov","fpl_rade","fpl_radj","fpl_rads","fpl_dens","fpl_eqt","fpl_insol","fpl_tranflag","fpl_cbflag","fpl_snum","ra_str","ra","dec_str","dec","fst_dist","fst_optmag","fst_optmagband","fst_nirmag","fst_nirmagband","fst_spt","fst_teff","fst_logg","fst_lum","fst_mass","fst_rad","fst_met","fst_metratio","fst_age"
"1311","KIC 3558849","b","KIC 3558849 b","Transit","0","2015","1322.3","6.176108677507845","","38.1","0.12","M-R relationship","6.9","0.616","0.063","0.637","","","1","0","1","19h39m47.96s","294.94984700000003","+38d36m18.7s","38.605197","1258.75","14.167","G (Gaia)","12.767000000000001","Ks (2MASS)","","6175","4.44","0.405","0.98","1.01","-0.42","[Fe/H]","4.236718483690839"
"1312","KIC 5437945","b","KIC 5437945 b","Transit","0","2015","440.7813","6.176108677507845","","33.6","0.106","M-R relationship","6.4","0.5710000000000001","0.059000000000000004","0.704","","","1","0","1","19h13m53.97s","288.474857","+40d39m04.9s","40.651357","1322.48","13.751","G (Gaia)","12.367","Ks (2MASS)","","6340","4.16","0.612","1.07","1.24","-0.38","[Fe/H]","3.16"
"1313","KIC 5951458","b","KIC 5951458 b","Transit","0","2015","1320.1","6.176108677507845","","35.4","0.111","M-R relationship","6.6","0.589","0.06","0.677","","","1","0","1","19h15m57.98s","288.991582","+41d13m22.9s","41.223038","758.78","12.687999999999999","G (Gaia)","11.324000000000002","Ks (2MASS)","","6258","4.08","0.556","0.98","1.52","-0.5","[Fe/H]","4.236718483690839"
"1314","KIC 7917485","b","KIC 7917485 b","Pulsation Timing Variations","0","2016","840","6.176108677507845","0.15","3750.394","11.8","Msini","12.4","1.1","0.114","10.8","","","0","0","1","19h57m44.30s","299.434592","+43d37m57.4s","43.632622","1439.31","13.2","V (Johnson)","12.110999999999999","Ks (2MASS)","A","7067","4","0.996","1.63","2.01","-0.02","[Fe/H]","4.236718483690839"
"1315","KOI-7892","b","KIC 8540376 b","Transit","0","2015","31.8099","6.176108677507845","","15.8","0.0496","M-R relationship","4.1","0.366","0.038","1.26","","","1","0","1","18h49m30.61s","282.37753","+44d41m40.5s","44.694592","1106.37","14.217","G (Gaia)","12.966","Ks (2MASS)","","6474","4.31","0.265","1.04","1.26","-0.16","[Fe/H]","4.236718483690839"
"1316","KOI-7892","c","KIC 8540376 c","Transit","0","2015","75.2","6.176108677507845","","6.35","0.02","M-R relationship","2.4","0.214","0.022000000000000002","2.52","","","1","0","1","18h49m30.61s","282.37753","+44d41m40.5s","44.694592","1106.37","14.217","G (Gaia)","12.966","Ks (2MASS)","","6474","4.31","0.265","1.04","1.26","-0.16","[Fe/H]","4.236718483690839"
"1317","KIC 9663113","b","KIC 9663113 b","Transit","0","2015","572.3847","6.176108677507845","","19.2","0.0603","M-R relationship","4.6","0.41","0.042","1.08","","3.36","1","0","1","19h48m10.90s","297.045421","+46d19m43.3s","46.328701","1670.88","13.907","G (Gaia)","12.502","Ks (2MASS)","","6065","4.42","0.755","0.98","1.03","-0.28","[Fe/H]","4.236718483690839"
"1318","KMT-2016-BLG-0212L","b","KMT-2016-BLG-0212L b","Microlensing","0","2018","2319.5392238828044","2.2","","5720.94","18","Mass","12.2","1.08","0.111","17.3","","","0","0","1","17h53m45.42s","268.43925","-29d05m12.80s","-29.086889000000003","6300","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.48","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
"1319","KMT-2016-BLG-1107L","b","KMT-2016-BLG-1107L b","Microlensing","0","2019","2319.5392238828044","0.342","","1043.43589","3.283","Mass","13.1","1.17","0.12","2.55","","","0","0","1","17h45m40.26s","266.41775","-26d01m54.48s","-26.0318","6651","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.09","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
"1320","KMT-2016-BLG-1397L","b","KMT-2016-BLG-1397L b","Microlensing","0","2018","2319.5392238828044","5.1","","2224.81","7","Mass","12.7","1.13","0.11599999999999999","5.97","","","0","0","1","18h10m39.51s","272.66461200000003","-24d51m27.9s","-24.857738","6600","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.45","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
"1321","KMT-2016-BLG-1820L","b","KMT-2016-BLG-1820L b","Microlensing","0","2018","2319.5392238828044","1.08","","1452.4831","4.57","Mass","12.9","1.15","0.11800000000000001","3.72","","","0","0","1","17h55m03.54s","268.76474","-29d31m00.9s","-29.516920000000002","6260","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.04","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
"1322","KMT-2016-BLG-2142L","b","KMT-2016-BLG-2142L b","Microlensing","0","2018","2319.5392238828044","0.83","","4923.1867","15.49","Mass","12.2","1.09","0.11199999999999999","14.9","","","0","0","1","17h52m26.88s","268.112","-29d23m04.4s","-29.384562","7010","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.07","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
"1323","KMT-2017-BLG-0165L","b","KMT-2017-BLG-0165L b","Microlensing","0","2018","2319.5392238828044","3.45","","34","0.10697999999999999","Mass","6.45","0.575","0.059000000000000004","0.696","","","0","0","1","17h58m35.92s","269.64966699999997","-28d08m01.21s","-28.133669","4530","12.69510042896795","G (Gaia)","10.751365111561855","Ks (2MASS)","","5488.212277202725","4.354839473684218","-0.07515228426395947","0.76","1.5409463240905692","0.011107881644409444","[Fe/H]","4.236718483690839"
